case_id,query_id,selection_bucket,query,gold_passage_id,gold_passage_text,anonymous_method_top1_passages,anonymous_method_gold_ranks,primary_error_type,secondary_subtype,rationale,confidence,annotation_round
G001,msmarco_test_000002,E,what is cetirizine hydrochloride,msmarco_test_000002_pos_1,"Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication. Doctors recommend cetirizine hydrochloride for the relief of symptoms associated with allergies. Cetirizine hydrochloride is available in its regular form and also in a combination therapy that includes pseudoephedrine, which is used to relieve nasal congestion in addition to allergy symptoms.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000002_neg_7"", ""top1_passage_text"": ""Prior to taking cetirizine, it is a good idea to review the drug's safety information. For example, side effects such as fatigue, drowsiness, and dry mouth may occur. In addition, this medicine is not right for certain people, such as those with liver or kidney disease. (Click Cetirizine for more information on this drug, including how it works, whether you can buy the medication without a prescription, and what to do in cases of overdose.). Cetirizine Hydrochloride.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000002_pos_1"", ""top1_passage_text"": ""Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication. Doctors recommend cetirizine hydrochloride for the relief of symptoms associated with allergies. Cetirizine hydrochloride is available in its regular form and also in a combination therapy that includes pseudoephedrine, which is used to relieve nasal congestion in addition to allergy symptoms.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000002_neg_2"", ""top1_passage_text"": ""Function. Cetirizine hydrochloride works by blocking receptors in your body that are sensitive to histamine, a chemical released by your immune system in the presence of something that it mistakenly perceives as a threat known as an allergen. Cetirizine hydrochloride is available in its regular form and also in a combination therapy that includes pseudoephedrine, which is used to relieve nasal congestion in addition to allergy symptoms.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000002_neg_6"", ""top1_passage_text"": ""Cetirizine /sɛˈtɪrɨziːn/ (trade names Zirtec, Zyrtec, Reactine) is a second-generation antihistamine used in the treatment of hay fever, allergies, angioedema, and urticaria. It is a major metabolite of hydroxyzine, and a racemic selective H1 receptor antagonist. Like many other antihistamine medications, cetirizine is commonly prescribed in combination with pseudoephedrine hydrochloride, a decongestant. These combinations are marketed using the same brand name as the cetirizine with a -D suffix (Zyrtec-D, Virlix-D, etc.).""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000002_pos_1"", ""top1_passage_text"": ""Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication. Doctors recommend cetirizine hydrochloride for the relief of symptoms associated with allergies. Cetirizine hydrochloride is available in its regular form and also in a combination therapy that includes pseudoephedrine, which is used to relieve nasal congestion in addition to allergy symptoms.""}}","{""Method A"": 2, ""Method B"": 1, ""Method C"": 8, ""Method D"": 2, ""Method E"": 1}",evidence_utilization_failure,verbose_or_repetitive_output,"The query asks: what is cetirizine hydrochloride. The selected top-3 context includes evidence such as 'Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication. Doctors recommend cetirizine hydrochloride for the relief of sympt...', but the generated answer 'Cetirizine hydrochloride is a prescription and over-the-counter antihistamine medication used to relieve symptoms ass...' does not match the reference 'Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication.'. This is a generation-side evidence use failure rather than a reranking miss.",high,2
G004,msmarco_test_000005,E,what is the cause of HPV,msmarco_test_000005_pos_1,Human papilloma virus (HPV) is the major cause of cervical cancer. There are many different types of HPV. Some types of HPV cause genital warts and are sometimes called the genital wart virus. The types of HPV that cause warts do not usually cause cell changes that develop into cancer. Some other types of HPV are considered high risk for cancer of the cervix.,"{""Method A"": {""top1_passage_id"": ""msmarco_test_000005_pos_1"", ""top1_passage_text"": ""Human papilloma virus (HPV) is the major cause of cervical cancer. There are many different types of HPV. Some types of HPV cause genital warts and are sometimes called the genital wart virus. The types of HPV that cause warts do not usually cause cell changes that develop into cancer. Some other types of HPV are considered high risk for cancer of the cervix.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000005_neg_6"", ""top1_passage_text"": ""1. The strains of HPV known to cause genital warts are low-risk HPV 6 and 11, while the strains of HPV associated with cancer include high-risk HPV 16, 18, 31, 33, 45, 52 and 58. 2. HPV is a virus which is passed skin-to-skin through sexual intercourse or other forms of skin-to-skin contact of the genitals.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000005_neg_5"", ""top1_passage_text"": ""Other types of HPV can cause warts and verrucas. These types of HPV are sometimes called the wart virus or genital wart virus and they include types 6 and 11. Warts and verrucas are most common on the hands and feet, in the genital area and around the anus. But they can be on any part of the body.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000005_pos_1"", ""top1_passage_text"": ""Human papilloma virus (HPV) is the major cause of cervical cancer. There are many different types of HPV. Some types of HPV cause genital warts and are sometimes called the genital wart virus. The types of HPV that cause warts do not usually cause cell changes that develop into cancer. Some other types of HPV are considered high risk for cancer of the cervix.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000005_pos_1"", ""top1_passage_text"": ""Human papilloma virus (HPV) is the major cause of cervical cancer. There are many different types of HPV. Some types of HPV cause genital warts and are sometimes called the genital wart virus. The types of HPV that cause warts do not usually cause cell changes that develop into cancer. Some other types of HPV are considered high risk for cancer of the cervix.""}}","{""Method A"": 1, ""Method B"": 5, ""Method C"": 6, ""Method D"": 1, ""Method E"": 1}",evidence_utilization_failure,verbose_or_repetitive_output,"The query asks: what is the cause of HPV. The selected top-3 context includes evidence such as 'Human papilloma virus (HPV) is the major cause of cervical cancer. There are many different types of HPV. Some types of HPV cause genital warts and are sometimes called the geni...', but the generated answer 'The cause of HPV is over 100 types of HPV, with about 30-70 types capable of causing genital infections and warts, wh...' does not match the reference 'Genital warts'. This is a generation-side evidence use failure rather than a reranking miss.",high,2
G005,msmarco_test_000008,E,how tall was lebron james parents,msmarco_test_000008_pos_4,I'm always interested in the height of really tall people's parents because I'm wondering if their height is genetic. Kobe Bryant's father's height is 6'9 so his height is obviously genetic. I heard that Lebron James' dad is 5'7 and his mom is 5'5 though so I don't know how he got so tall.,"{""Method A"": {""top1_passage_id"": ""msmarco_test_000008_pos_4"", ""top1_passage_text"": ""I'm always interested in the height of really tall people's parents because I'm wondering if their height is genetic. Kobe Bryant's father's height is 6'9 so his height is obviously genetic. I heard that Lebron James' dad is 5'7 and his mom is 5'5 though so I don't know how he got so tall.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000008_neg_7"", ""top1_passage_text"": ""(Click here for a complete listing of today's sports birthdays.) His mother, Gloria James, was only 16 at the time. His biological father, Anthony McClelland, was an ex-con uninterested in being a parent. Gloria raised LeBron on her own, and to this day he goes by her last name.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000008_neg_7"", ""top1_passage_text"": ""(Click here for a complete listing of today's sports birthdays.) His mother, Gloria James, was only 16 at the time. His biological father, Anthony McClelland, was an ex-con uninterested in being a parent. Gloria raised LeBron on her own, and to this day he goes by her last name.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000008_neg_2"", ""top1_passage_text"": ""Lebron James is 6 feet 8 inches tall. For those that use the metric system he is 2.03 meters tall. 2.03 meters is equal to 203 centimeters.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000008_pos_4"", ""top1_passage_text"": ""I'm always interested in the height of really tall people's parents because I'm wondering if their height is genetic. Kobe Bryant's father's height is 6'9 so his height is obviously genetic. I heard that Lebron James' dad is 5'7 and his mom is 5'5 though so I don't know how he got so tall.""}}","{""Method A"": 1, ""Method B"": 7, ""Method C"": 6, ""Method D"": 5, ""Method E"": 1}",evidence_utilization_failure,used_wrong_evidence,"The query asks: how tall was lebron james parents. The selected top-3 context includes evidence such as 'I'm always interested in the height of really tall people's parents because I'm wondering if their height is genetic. Kobe Bryant's father's height is 6'9 so his height is obvio...', but the generated answer '5'7' does not match the reference 'Lebron James' dad is 5'7 and his mom is 5'5.'. This is a generation-side evidence use failure rather than a reranking miss.",high,2
G008,msmarco_test_000422,D,what is jacketing,msmarco_test_000422_pos_9,Definition. The surrounding of a pipe or vessel by a confined bath or stream of fluid for temperature control or heat absorption.,"{""Method A"": {""top1_passage_id"": ""msmarco_test_000422_neg_4"", ""top1_passage_text"": ""Speedline® PVC Jacketing may be installed over insulation piping indoors or outdoors. It is available in 10, 15, 20, 30 and 40 mil. In many cases, especially in food plants, the PVC Jacketing should be sealed with Speedline® solvent-weld adhesive. PVC Jacketing is provided in three or four foot rolls. Speedline® Corporation also manufactures Cut and Curl PVC Jacketing in 4 ft. sections and available in .010, .015, .020, .030 and .040 mil. PVC Color Jacketing is only available in 4-ft rolls and in .020 and .030 thicknesses. PVC Color Jacketing is not rated for outdoor usage.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000422_neg_7"", ""top1_passage_text"": ""JACKETING AND COLLARS IN STRUCTURE STRENGTHENING. Jacketing is the process whereby a section of an existing structural member is restored to original dimensions or increased in size by encasement using suitable materials. These are usually used to provide increased support to the slab or beam at the top of the column. The form for the jacket consists of timber, corrugated metal, precast concrete, rubber, fiberglass, or special fabric; and may be permanent in some cases.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000422_neg_1"", ""top1_passage_text"": ""INSTALLATION: Installing Aluminum Jacketing on insulated pipes is very easy when it is cut and rolled to the pipe size. Below are some key notes to remember during installation: 1. On horizontal piping, make sure the lap of the aluminum jacketing is pointing down to prevent any rain runoff from seeping in. 2. Fab Straps are usually specified to be placed every foot of piping making sure placement is close to the joints of two sections of jacketing. 3.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000422_neg_7"", ""top1_passage_text"": ""JACKETING AND COLLARS IN STRUCTURE STRENGTHENING. Jacketing is the process whereby a section of an existing structural member is restored to original dimensions or increased in size by encasement using suitable materials. These are usually used to provide increased support to the slab or beam at the top of the column. The form for the jacket consists of timber, corrugated metal, precast concrete, rubber, fiberglass, or special fabric; and may be permanent in some cases.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000422_neg_7"", ""top1_passage_text"": ""JACKETING AND COLLARS IN STRUCTURE STRENGTHENING. Jacketing is the process whereby a section of an existing structural member is restored to original dimensions or increased in size by encasement using suitable materials. These are usually used to provide increased support to the slab or beam at the top of the column. The form for the jacket consists of timber, corrugated metal, precast concrete, rubber, fiberglass, or special fabric; and may be permanent in some cases.""}}","{""Method A"": 9, ""Method B"": 5, ""Method C"": 4, ""Method D"": 7, ""Method E"": 9}",ambiguous_query,,"The query asks: what is jacketing. The top-ranked passage emphasizes 'JACKETING AND COLLARS IN STRUCTURE STRENGTHENING. Jacketing is the process whereby a section of an existing structural member is restored to original dimensions or increased in ...', while the gold passage says 'Definition. The surrounding of a pipe or vessel by a confined bath or stream of fluid for temperature control or heat absorption.'. The failure is labeled ambiguous_query because the wrong passage is less direct or less complete than the gold evidence for this question.",medium,2
G009,msmarco_test_000175,D,what are a probation officers duties,msmarco_test_000175_pos_5,"Duties and Responsibilities. As a parole officer, you work with criminals who've recently been released from jail to ensure that they follow the terms of their parole. These terms can include finding employment, not breaking any laws, abstaining from alcohol and drugs, and keeping scheduled meetings with you.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000175_neg_2"", ""top1_passage_text"": ""Duties and Functions. Parole officers supervise offenders who are released on parole. To perform the complex duties of the position, Parole officers must have excellent verbal and written communication skills. They also must attain computer proficiency to work effectively in the Georgia Parole Board’s computerized parolee case-management system. Parole officers' duties include:""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000175_neg_1"", ""top1_passage_text"": ""Essential Information. Probation officers work with people who were convicted of crimes and sentenced to probation instead of incarceration. The work of a probation officer often involves monitoring offenders, coordinating rehabilitation services and arranging job training. Most probation officers must have a bachelor's degree. Probation Officer Salary and Career Outlook. The BLS groups probation officers together with correctional treatment specialists and estimates a one percent decline in jobs for those workers in the decade 2012-2022.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000175_neg_2"", ""top1_passage_text"": ""Duties and Functions. Parole officers supervise offenders who are released on parole. To perform the complex duties of the position, Parole officers must have excellent verbal and written communication skills. They also must attain computer proficiency to work effectively in the Georgia Parole Board’s computerized parolee case-management system. Parole officers' duties include:""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000175_neg_3"", ""top1_passage_text"": ""A primary duty for a probation officer is to meet with his assigned offenders on a weekly or monthly basis. The court designates how often each offender must meet with his officer. The probation officer is part of a team of people who work to monitor and manage the offender during probation. He typically maintains relationships with other public, private or nonprofit organizations in the community to help get the probationer assistance as needed.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000175_neg_3"", ""top1_passage_text"": ""A primary duty for a probation officer is to meet with his assigned offenders on a weekly or monthly basis. The court designates how often each offender must meet with his officer. The probation officer is part of a team of people who work to monitor and manage the offender during probation. He typically maintains relationships with other public, private or nonprofit organizations in the community to help get the probationer assistance as needed.""}}","{""Method A"": 5, ""Method B"": 9, ""Method C"": 5, ""Method D"": 8, ""Method E"": 6}",ambiguous_query,,"The query asks: what are a probation officers duties. The top-ranked passage emphasizes 'A primary duty for a probation officer is to meet with his assigned offenders on a weekly or monthly basis. The court designates how often each offender must meet with his offic...', while the gold passage says 'Duties and Responsibilities. As a parole officer, you work with criminals who've recently been released from jail to ensure that they follow the terms of their parole. These ter...'. The failure is labeled ambiguous_query because the wrong passage is less direct or less complete than the gold evidence for this question.",medium,2
G018,msmarco_test_000078,C,what biome has plants spaced far apart,msmarco_test_000078_pos_6,"Desert: Plants Short grasses, sagebrush, creosote bushes, and cacti are just a few of the plants that can be found in the desert. Plant abundance and variety are determined by the geographic location of the desert. Some plants have developed long (20-30 foot) taproots that go deep into the ground and tap into groundwater sources. Other plants have developed extensive horizontal root systems. These horizontal root systems lie just below the surface and extend far beyond the plant canopy.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000078_neg_1"", ""top1_passage_text"": ""How far apart do you plant beans from each other watermelon and cucumber from each other? Climbing beans are planted 6-8 seeds around each pole which are later thinned to 3-4 plants if using that method, and 8 inches apart in rows. Dwarf beans are planted 4-6 inc … hes apart. Watermelons should be allowed 36 square feet in which to grow. Cucumbers need 4-6 feet each way.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000078_neg_2"", ""top1_passage_text"": ""A biome is a large geographical region where certain types of plants and animals thrive. Each biome has a unique set of environmental conditions and plants and animals that have adapted to those conditions. Biomes with greater kinds or quantities of plants and animals are said to have high biodiversity. Biomes like the temperate deciduous forest and grasslands have better conditions for plant growth. Ideal conditions for biodiversity include moderate to abundant precipitation, sunlight, warmth, nutrient-rich soil, and a long growing season""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000078_neg_8"", ""top1_passage_text"": ""What is a Biome? A biome is a large geographical area of distinctive plant and animal groups, which are adapted to that particular environment. The climate and geography of a region determines what type of biome can exist in that region. Major biomes include deserts, forests, grasslands, tundra, and several types of aquatic environments. Each biome consists of many ecosystems whose communities have adapted to the small differences in climate and the environment inside the biome. All living things are closely related to their environment.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000078_pos_6"", ""top1_passage_text"": ""Desert: Plants Short grasses, sagebrush, creosote bushes, and cacti are just a few of the plants that can be found in the desert. Plant abundance and variety are determined by the geographic location of the desert. Some plants have developed long (20-30 foot) taproots that go deep into the ground and tap into groundwater sources. Other plants have developed extensive horizontal root systems. These horizontal root systems lie just below the surface and extend far beyond the plant canopy.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000078_neg_2"", ""top1_passage_text"": ""A biome is a large geographical region where certain types of plants and animals thrive. Each biome has a unique set of environmental conditions and plants and animals that have adapted to those conditions. Biomes with greater kinds or quantities of plants and animals are said to have high biodiversity. Biomes like the temperate deciduous forest and grasslands have better conditions for plant growth. Ideal conditions for biodiversity include moderate to abundant precipitation, sunlight, warmth, nutrient-rich soil, and a long growing season""}}","{""Method A"": 5, ""Method B"": 8, ""Method C"": 7, ""Method D"": 1, ""Method E"": 7}",multi_evidence_confusion,,"The query asks: what biome has plants spaced far apart. The top-ranked passage emphasizes 'A biome is a large geographical region where certain types of plants and animals thrive. Each biome has a unique set of environmental conditions and plants and animals that have...', while the gold passage says 'Desert: Plants Short grasses, sagebrush, creosote bushes, and cacti are just a few of the plants that can be found in the desert. Plant abundance and variety are determined by t...'. The failure is labeled multi_evidence_confusion because the wrong passage is less direct or less complete than the gold evidence for this question.",medium,2
G021,msmarco_test_000028,A,what is codeine,msmarco_test_000028_pos_8,"Codeine is a member of the opioid family of drugs that is derived from the opium poppy and synthesized in a laboratory to create an analgesic drug that is common prescribed for the treatment of mild to moderate pain, cough and sometimes diarrhea. Codeine and alcohol can have deadly side effects because both of these substances cause central nervous system depression that can lead to come, seizures, and death. Talk to your doctor if you are a regular drinker and you have been prescribed codeine for the treatment of cough or pain.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000028_neg_4"", ""top1_passage_text"": ""Codeine is the second-most predominant alkaloid in opium, at up to three percent. Although codeine can be extracted from natural sources, a semi-synthetic process is the primary source of codeine for pharmaceutical use. It is considered the prototype of the weak to midrange opioids (tramadol, dextropropoxyphene, dihydrocodeine, hydrocodone, oxycodone). Codeine-only products can be obtained with a prescription as a time release tablet (e.g., Codeine Contin 100 mg and Perduretas 50 mg). Codeine is also marketed in cough syrups with zero to a half-dozen other active ingredients, and a linctus (e.g., Paveral) for all of the uses for which codeine is indicated.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000028_neg_7"", ""top1_passage_text"": ""Codeine or 3-methylmorphine (a naturally occurring methylated morphine) is an opiate used to treat pain, as a cough medicine, and for diarrhea. Codeine-only products can be obtained with a prescription as a time release tablet (e.g., Codeine Contin 100 mg and Perduretas 50 mg). Codeine is also marketed in cough syrups with zero to a half-dozen other active ingredients, and a linctus (e.g., Paveral) for all of the uses for which codeine is indicated.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000028_neg_6"", ""top1_passage_text"": ""Codeine phosphate is an opioid analgesic (pain reliever) drug used to treat many causes of mild to moderate pain. Codeine phosphate is available in a generic form termed codeine. Common side effects of codeine phosphate include drowsiness, lightheadedness, dizziness, sedation, shortness of breath, nausea, vomiting, stomach pain, sweating, constipation, itching, or rash. Codeine phosphate may be habit-forming.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000028_pos_8"", ""top1_passage_text"": ""Codeine is a member of the opioid family of drugs that is derived from the opium poppy and synthesized in a laboratory to create an analgesic drug that is common prescribed for the treatment of mild to moderate pain, cough and sometimes diarrhea. Codeine and alcohol can have deadly side effects because both of these substances cause central nervous system depression that can lead to come, seizures, and death. Talk to your doctor if you are a regular drinker and you have been prescribed codeine for the treatment of cough or pain.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000028_neg_7"", ""top1_passage_text"": ""Codeine or 3-methylmorphine (a naturally occurring methylated morphine) is an opiate used to treat pain, as a cough medicine, and for diarrhea. Codeine-only products can be obtained with a prescription as a time release tablet (e.g., Codeine Contin 100 mg and Perduretas 50 mg). Codeine is also marketed in cough syrups with zero to a half-dozen other active ingredients, and a linctus (e.g., Paveral) for all of the uses for which codeine is indicated.""}}","{""Method A"": 9, ""Method B"": 8, ""Method C"": 2, ""Method D"": 1, ""Method E"": 2}",background_only,,"The query asks: what is codeine. The top-ranked passage emphasizes 'Codeine is the second-most predominant alkaloid in opium, at up to three percent. Although codeine can be extracted from natural sources, a semi-synthetic process is the primary...', while the gold passage says 'Codeine is a member of the opioid family of drugs that is derived from the opium poppy and synthesized in a laboratory to create an analgesic drug that is common prescribed for ...'. The failure is labeled background_only because the wrong passage is less direct or less complete than the gold evidence for this question.",medium,2
G024,msmarco_test_000170,A,how many days do you have to take tessalon perles,msmarco_test_000170_pos_8,"Benzonatate (Tessalon) Dosage. Benzonatate comes in 100 milligram (mg) and 200 mg capsules, and is taken up to a maximum of three times a day, depending on your prescription. Taking more benzonatate than you are prescribed can be very dangerous. Always take benzonatate with a full glass of water and swallow the capsule whole.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000170_neg_2"", ""top1_passage_text"": ""Your doctor will tell you how much medicine to take and how often. Swallow the capsules whole; do not crush or chew. Chewing the capsule may numb your mouth and throat and you could choke.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000170_neg_5"", ""top1_passage_text"": ""Take each dose with a full glass of water. Never suck or chew on a benzonatate capsule. Swallow the pill whole. Sucking or chewing the capsule may cause your mouth and throat to feel numb or cause other serious side effects. Store at room temperature away from moisture, heat, and light. It is not known whether benzonatate passes into breast milk or if it could harm a nursing baby. Do not use this medication without telling your doctor if you are breast-feeding a baby. Do not give this medication to a child younger than 10 years old without medical advice.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000170_neg_1"", ""top1_passage_text"": ""1 For cough: 2 Adults and children 10 years of age and older—100 milligrams (mg) three times a day. 3 Do not take more than 200 mg at one time or more than 600 mg per day. 4 Children younger than 10 years of age—Use is not recommended. Also, the number of doses you take each day, the time allowed between doses, and the length of time you take the medicine depend on the medical problem for which you are using the medicine. 1 For oral dosage form (capsules): 2 For cough: 3""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000170_pos_8"", ""top1_passage_text"": ""Benzonatate (Tessalon) Dosage. Benzonatate comes in 100 milligram (mg) and 200 mg capsules, and is taken up to a maximum of three times a day, depending on your prescription. Taking more benzonatate than you are prescribed can be very dangerous. Always take benzonatate with a full glass of water and swallow the capsule whole.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000170_pos_8"", ""top1_passage_text"": ""Benzonatate (Tessalon) Dosage. Benzonatate comes in 100 milligram (mg) and 200 mg capsules, and is taken up to a maximum of three times a day, depending on your prescription. Taking more benzonatate than you are prescribed can be very dangerous. Always take benzonatate with a full glass of water and swallow the capsule whole.""}}","{""Method A"": 9, ""Method B"": 2, ""Method C"": 2, ""Method D"": 1, ""Method E"": 1}",background_only,,"The query asks: how many days do you have to take tessalon perles. The top-ranked passage emphasizes 'Your doctor will tell you how much medicine to take and how often. Swallow the capsules whole; do not crush or chew. Chewing the capsule may numb your mouth and throat and you c...', while the gold passage says 'Benzonatate (Tessalon) Dosage. Benzonatate comes in 100 milligram (mg) and 200 mg capsules, and is taken up to a maximum of three times a day, depending on your prescription. Ta...'. The failure is labeled background_only because the wrong passage is less direct or less complete than the gold evidence for this question.",medium,2
G025,msmarco_test_000001,B,how long does it take to drive from st louis to detroit,msmarco_test_000001_pos_8,"How long is the drive from Detroit, MI to Saint Louis, MO? The total driving time is 8 hours, 43 minutes.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000001_pos_8"", ""top1_passage_text"": ""How long is the drive from Detroit, MI to Saint Louis, MO? The total driving time is 8 hours, 43 minutes.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000001_neg_2"", ""top1_passage_text"": ""From St. Louis, Missouri. – Drive on I-64 east for approximately 3 hours; take Exit #57-A South and head south on US 231 to the State Road 162 exit, which will take you directly into the town of Santa Claus and to the Holiday World parking lots.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000001_neg_2"", ""top1_passage_text"": ""From St. Louis, Missouri. – Drive on I-64 east for approximately 3 hours; take Exit #57-A South and head south on US 231 to the State Road 162 exit, which will take you directly into the town of Santa Claus and to the Holiday World parking lots.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000001_neg_9"", ""top1_passage_text"": ""The distance between Missouri, USA, and Detroit, MI, is 660 miles and will take about 10 Hours 20 Minutes of driving time.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000001_pos_8"", ""top1_passage_text"": ""How long is the drive from Detroit, MI to Saint Louis, MO? The total driving time is 8 hours, 43 minutes.""}}","{""Method A"": 1, ""Method B"": 9, ""Method C"": 7, ""Method D"": 2, ""Method E"": 1}",small_model_semantic_limit,,"The query asks: how long does it take to drive from st louis to detroit. The top-ranked passage emphasizes 'How long is the drive from Detroit, MI to Saint Louis, MO? The total driving time is 8 hours, 43 minutes.', while the gold passage says 'How long is the drive from Detroit, MI to Saint Louis, MO? The total driving time is 8 hours, 43 minutes.'. The failure is labeled small_model_semantic_limit because the wrong passage is less direct or less complete than the gold evidence for this question.",high,2
G029,msmarco_test_000240,B,Does insurance pay when your insurance company have to pay drunk driver,msmarco_test_000240_pos_1,"Driving under the influence of alcohol or drugs is illegal, obviously. However, if you drive drunk and cause a car accident, your car insurance policy will pay for damages you cause -- up to the liability limits of your policy.","{""Method A"": {""top1_passage_id"": ""msmarco_test_000240_pos_1"", ""top1_passage_text"": ""Driving under the influence of alcohol or drugs is illegal, obviously. However, if you drive drunk and cause a car accident, your car insurance policy will pay for damages you cause -- up to the liability limits of your policy.""}, ""Method B"": {""top1_passage_id"": ""msmarco_test_000240_neg_2"", ""top1_passage_text"": ""1 Report the accident to your insurance company. 2 Report the accident to the Department of Motor Vehicles within 10 days if someone is injured or killed or if damage to either car is more than $750. 3 Make a claim with your insurance company and/or the other driver’s insurance company to pay for your injuries and losses.""}, ""Method C"": {""top1_passage_id"": ""msmarco_test_000240_neg_2"", ""top1_passage_text"": ""1 Report the accident to your insurance company. 2 Report the accident to the Department of Motor Vehicles within 10 days if someone is injured or killed or if damage to either car is more than $750. 3 Make a claim with your insurance company and/or the other driver’s insurance company to pay for your injuries and losses.""}, ""Method D"": {""top1_passage_id"": ""msmarco_test_000240_neg_5"", ""top1_passage_text"": ""Yes, your insurance provider will pay the damages from your liability coverage. Liability coverage, which is mandatory in all states, is a negligent driver’s insurance policy which covers the other driver’s medical bills and property damage incurred during the accident.""}, ""Method E"": {""top1_passage_id"": ""msmarco_test_000240_pos_1"", ""top1_passage_text"": ""Driving under the influence of alcohol or drugs is illegal, obviously. However, if you drive drunk and cause a car accident, your car insurance policy will pay for damages you cause -- up to the liability limits of your policy.""}}","{""Method A"": 1, ""Method B"": 9, ""Method C"": 4, ""Method D"": 6, ""Method E"": 1}",small_model_semantic_limit,,"The query asks: Does insurance pay when your insurance company have to pay drunk driver. The top-ranked passage emphasizes 'Driving under the influence of alcohol or drugs is illegal, obviously. However, if you drive drunk and cause a car accident, your car insurance policy will pay for damages you c...', while the gold passage says 'Driving under the influence of alcohol or drugs is illegal, obviously. However, if you drive drunk and cause a car accident, your car insurance policy will pay for damages you c...'. The failure is labeled small_model_semantic_limit because the wrong passage is less direct or less complete than the gold evidence for this question.",high,2
